# JMH version: 1.21
# VM version: JDK 1.8.0_121, Java HotSpot(TM) 64-Bit Server VM, 25.121-b13
# VM invoker: /Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/bin/java
# VM options: -javaagent:/Applications/IntelliJ IDEA.app/Contents/lib/idea_rt.jar=64349:/Applications/IntelliJ IDEA.app/Contents/bin -Dfile.encoding=UTF-8
# Warmup: 5 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.cxd.html.HTMLEditorKitBenchmark.measureSampleTime
# Parameters: (html = )

# Run progress: 0.00% complete, ETA 00:38:30
# Fork: 1 of 1
objc[13930]: Class JavaLaunchHelper is implemented in both /Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/bin/java (0x10dbf94c0) and /Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/libinstrument.dylib (0x10ebe64e0). One of the two will be used. Which one is undefined.
# Warmup Iteration   1: 15.331 ms/op
# Warmup Iteration   2: 6.385 ms/op
# Warmup Iteration   3: 2.311 ms/op
# Warmup Iteration   4: 0.645 ms/op
# Warmup Iteration   5: 0.629 ms/op
Iteration  48: 0.588 ms/op
Iteration  49: 0.585 ms/op
Iteration  50: 0.585 ms/op
Iteration  51: 0.585 ms/op
Iteration  52: 0.619 ms/op
Iteration  53: 0.610 ms/op
Iteration  54: 0.601 ms/op
Iteration  55: 0.597 ms/op
Iteration  56: 0.599 ms/op
Iteration  57: 0.595 ms/op
Iteration  58: 0.594 ms/op
Iteration  59: 0.594 ms/op
Iteration  60: 0.596 ms/op
Iteration  61: 0.593 ms/op
Iteration  62: 0.593 ms/op
Iteration  63: 0.594 ms/op
Iteration  64: 0.594 ms/op
Iteration  65: 0.593 ms/op
Iteration  66: 0.593 ms/op
Iteration  67: 0.589 ms/op
Iteration  68: 0.593 ms/op
Iteration  69: 0.590 ms/op
Iteration  70: 0.601 ms/op
Iteration  71: 0.590 ms/op
Iteration  72: 0.595 ms/op
Iteration  73: 0.593 ms/op
Iteration  74: 0.595 ms/op
Iteration  75: 0.594 ms/op
Iteration  76: 0.593 ms/op
Iteration  77: 0.674 ms/op
Iteration  78: 0.618 ms/op
Iteration  79: 0.633 ms/op
Iteration  80: 0.612 ms/op
Iteration  81: 0.656 ms/op
Iteration  82: 0.605 ms/op
Iteration  83: 0.651 ms/op
Iteration  84: 0.615 ms/op
Iteration  85: 0.685 ms/op
Iteration  86: 0.635 ms/op
Iteration  87: 0.601 ms/op
Iteration  88: 0.584 ms/op
Iteration  89: 0.667 ms/op
Iteration  90: 0.655 ms/op
Iteration  91: 0.613 ms/op
Iteration  92: 0.650 ms/op
Iteration  93: 0.674 ms/op
Iteration  94: 0.626 ms/op
Iteration  95: 0.658 ms/op
Iteration  96: 0.622 ms/op
Iteration  97: 0.657 ms/op
Iteration  98: 0.691 ms/op
Iteration  99: 0.710 ms/op
Iteration 100: 0.671 ms/op


